,StorageLevel,Inflow,Outflow,SnowDepth,Snowfall,Precipitation,AvgTemp,Precip_7d_sum,Precip_30d_sum,Temp_7d_avg,SnowDepth_30d_avg,Snowfall_7d_sum,Month,Forecast_Precip_7d_sum,Forecast_Temp_7d_avg
2000-01-30,143.44,3.98,5.91,4.0,6.0,4.0,0.5,6.0,76.0,-1.9999999999999998,3.8666666666666667,31.0,1,13.0,0.4142857142857145
2000-01-31,143.38,4.46,5.84,20.0,23.0,10.0,-1.8,16.0,86.0,-2.5428571428571423,4.533333333333333,52.0,1,7.0,0.8428571428571429
2000-02-01,143.32,3.9,5.81,18.0,1.0,0.0,-0.2,16.0,86.0,-2.1714285714285713,5.133333333333334,51.0,2,8.0,1.1
2000-02-02,143.24,3.66,5.84,8.0,2.0,0.0,1.9,14.0,76.0,-1.1714285714285713,5.4,40.0,2,14.0,0.742857142857143
2000-02-03,143.16,3.96,5.87,4.0,2.0,0.0,1.1,14.0,75.0,-0.1428571428571427,5.533333333333333,39.0,2,15.0,0.5142857142857145
2000-02-04,143.09,3.71,5.88,2.0,3.0,0.0,0.7,14.0,75.0,0.30000000000000016,5.6,40.0,2,15.0,0.4857142857142858
2000-02-05,143.01,3.7,5.85,2.0,1.0,0.0,1.5,14.0,66.0,0.5285714285714287,5.666666666666667,38.0,2,17.0,0.47142857142857153
2000-02-06,142.92,3.56,5.7,4.0,4.0,3.0,-0.3,13.0,69.0,0.4142857142857145,5.8,36.0,2,14.0,0.5142857142857143
2000-02-07,142.85,3.59,5.72,7.0,5.0,4.0,1.2,7.0,73.0,0.8428571428571429,6.033333333333333,18.0,2,12.0,0.3285714285714287
2000-02-08,142.77,3.61,5.74,0.0,0.0,1.0,1.6,8.0,73.0,1.1,6.033333333333333,17.0,2,13.0,-0.25714285714285706
2000-02-09,142.69,3.73,5.85,6.0,7.0,6.0,-0.6,14.0,69.0,0.742857142857143,6.233333333333333,22.0,2,12.0,-0.9142857142857143
2000-02-10,142.61,3.46,5.82,8.0,5.0,1.0,-0.5,15.0,70.0,0.5142857142857145,6.5,25.0,2,14.0,-1.3142857142857143
2000-02-11,142.51,3.3,5.66,0.0,0.0,0.0,0.5,15.0,66.0,0.4857142857142858,6.4,22.0,2,19.0,-1.8
2000-02-12,142.42,3.04,5.64,0.0,0.0,2.0,1.4,17.0,51.0,0.47142857142857153,6.233333333333333,21.0,2,18.0,-2.1714285714285713
2000-02-13,142.32,3.07,5.64,0.0,0.0,0.0,0.0,14.0,48.0,0.5142857142857143,6.233333333333333,17.0,2,18.0,-2.1
2000-02-14,142.22,3.16,5.71,0.0,0.0,2.0,-0.1,12.0,50.0,0.3285714285714287,6.233333333333333,12.0,2,16.0,-2.3714285714285714
2000-02-15,142.11,2.99,5.78,3.0,4.0,2.0,-2.5,13.0,52.0,-0.25714285714285706,6.333333333333333,16.0,2,14.0,-2.4
