,StorageLevel,Inflow,Outflow,SnowDepth,Snowfall,Precipitation,AvgTemp,Precip_7d_sum,Precip_30d_sum,Temp_7d_avg,SnowDepth_30d_avg,Snowfall_7d_sum,Month,Forecast_Precip_7d_sum,Forecast_Temp_7d_avg
2000-01-30,143.44,3.98,5.91,0.0,0,0.0,4.5,0.0,44.5,1.2571428571428573,0.5,0.0,1,1.5,2.9714285714285715
2000-01-31,143.38,4.46,5.84,2.0,1,0.0,0.9,0.0,44.5,0.8428571428571429,0.5666666666666667,1.0,1,3.0,3.4428571428571426
2000-02-01,143.32,3.9,5.81,0.0,0,0.0,2.1,0.0,44.5,1.1714285714285713,0.5666666666666667,1.0,2,3.5,3.685714285714286
2000-02-02,143.24,3.66,5.84,0.0,0,0.0,3.6,0.0,40.5,2.0142857142857147,0.5666666666666667,1.0,2,5.0,3.4857142857142853
2000-02-03,143.16,3.96,5.87,0.0,0,0.0,4.3,0.0,40.5,2.914285714285714,0.5666666666666667,1.0,2,5.0,3.1714285714285717
2000-02-04,143.09,3.71,5.88,0.0,0,0.0,3.4,0.0,40.5,3.242857142857143,0.5666666666666667,1.0,2,5.0,3.0285714285714285
2000-02-05,143.01,3.7,5.85,0.0,0,0.0,3.5,0.0,38.0,3.185714285714286,0.5666666666666667,1.0,2,5.0,3.142857142857143
2000-02-06,142.92,3.56,5.7,0.0,0,1.5,3.0,1.5,38.0,2.9714285714285715,0.5666666666666667,1.0,2,3.5,3.0285714285714285
2000-02-07,142.85,3.59,5.72,0.0,0,1.5,4.2,3.0,39.5,3.4428571428571426,0.5666666666666667,0.0,2,2.0,2.7857142857142856
2000-02-08,142.77,3.61,5.74,0.0,0,0.5,3.8,3.5,40.0,3.685714285714286,0.5666666666666667,0.0,2,1.5,2.371428571428571
2000-02-09,142.69,3.73,5.85,0.0,0,1.5,2.2,5.0,35.0,3.4857142857142853,0.5666666666666667,0.0,2,0.0,1.7142857142857142
2000-02-10,142.61,3.46,5.82,0.0,0,0.0,2.1,5.0,35.0,3.1714285714285717,0.5666666666666667,0.0,2,0.0,1.3571428571428572
2000-02-11,142.51,3.3,5.66,0.0,0,0.0,2.4,5.0,30.5,3.0285714285714285,0.5333333333333333,0.0,2,0.0,1.0285714285714287
2000-02-12,142.42,3.04,5.64,0.0,0,0.0,4.3,5.0,8.5,3.142857142857143,0.43333333333333335,0.0,2,0.0,0.6857142857142857
2000-02-13,142.32,3.07,5.64,0.0,0,0.0,2.2,3.5,8.5,3.0285714285714285,0.43333333333333335,0.0,2,0.0,0.7999999999999999
2000-02-14,142.22,3.16,5.71,0.0,0,0.0,2.5,2.0,8.5,2.7857142857142856,0.43333333333333335,0.0,2,0.0,0.5428571428571428
2000-02-15,142.11,2.99,5.78,0.0,0,0.0,0.9,1.5,8.5,2.371428571428571,0.43333333333333335,0.0,2,0.0,0.45714285714285713
2000-02-16,142.01,3.1,5.62,2.0,1,0.0,-2.4,0.0,8.5,1.7142857142857142,0.5,1.0,2,0.0,1.0
2000-02-17,141.9,2.73,5.5,0.0,0,0.0,-0.4,0.0,8.5,1.3571428571428572,0.5,1.0,2,0.0,1.0857142857142856
2000-02-18,141.79,2.75,5.48,1.0,0,0.0,0.1,0.0,8.5,1.0285714285714287,0.5333333333333333,1.0,2,0.0,0.9571428571428571
2000-02-19,141.69,2.76,5.48,1.0,0,0.0,1.9,0.0,8.5,0.6857142857142857,0.5666666666666667,1.0,2,0.5,0.7999999999999999
2000-02-20,141.58,2.96,5.4,0.0,0,0.0,3.0,0.0,5.0,0.7999999999999999,0.36666666666666664,1.0,2,2.0,0.5285714285714286
2000-02-21,141.47,2.48,5.41,1.0,0,0.0,0.7,0.0,5.0,0.5428571428571428,0.23333333333333334,1.0,2,2.0,0.6857142857142857
2000-02-22,141.35,2.52,5.44,0.0,0,0.0,0.3,0.0,5.0,0.45714285714285713,0.23333333333333334,1.0,2,4.5,0.6
2000-02-23,141.23,2.3,5.43,0.0,0,0.0,1.4,0.0,5.0,1.0,0.23333333333333334,0.0,2,4.5,0.5285714285714286
2000-02-24,141.1,2.48,5.35,0.0,0,0.0,0.2,0.0,5.0,1.0857142857142856,0.23333333333333334,0.0,2,4.5,1.3142857142857143
2000-02-25,140.98,2.44,5.06,1.0,0,0.0,-0.8,0.0,5.0,0.9571428571428571,0.26666666666666666,0.0,2,4.5,2.342857142857143
2000-02-26,140.87,2.41,5.01,2.0,0,0.5,0.8,0.5,5.5,0.7999999999999999,0.3333333333333333,0.0,2,4.0,3.257142857142857
2000-02-27,140.76,2.56,5.13,2.0,1,1.5,1.1,2.0,7.0,0.5285714285714286,0.4,1.0,2,2.5,4.228571428571429
2000-02-28,140.65,2.37,5.15,1.0,0,0.0,1.8,2.0,7.0,0.6857142857142857,0.43333333333333335,1.0,2,2.5,4.457142857142857
2000-02-29,140.54,2.66,5.19,5.0,2,2.5,-0.3,4.5,9.5,0.6,0.6,3.0,2,0.0,4.914285714285714
2000-03-01,140.43,2.66,5.18,0.0,0,0.0,0.9,4.5,9.5,0.5285714285714286,0.5333333333333333,3.0,3,0.0,4.985714285714286
2000-03-02,140.31,2.65,5.15,0.0,0,0.0,5.7,4.5,9.5,1.3142857142857143,0.5333333333333333,3.0,3,0.0,4.071428571428571
2000-03-03,140.21,3.12,5.15,0.0,0,0.0,6.4,4.5,9.5,2.342857142857143,0.5333333333333333,3.0,3,0.0,3.185714285714286
2000-03-04,140.14,3.79,5.13,0.0,0,0.0,7.2,4.0,9.5,3.257142857142857,0.5333333333333333,3.0,3,0.0,2.7285714285714286
2000-03-05,140.1,5.13,5.12,0.0,0,0.0,7.9,2.5,9.5,4.228571428571429,0.5333333333333333,2.0,3,0.0,2.2857142857142856
2000-03-06,140.13,5.67,5.24,0.0,0,0.0,3.4,2.5,9.5,4.457142857142857,0.5333333333333333,2.0,3,0.0,2.157142857142857
2000-03-07,140.12,4.75,5.18,0.0,0,0.0,2.9,0.0,8.0,4.914285714285714,0.5333333333333333,0.0,3,0.0,2.057142857142857
2000-03-08,140.09,4.42,5.09,0.0,0,0.0,1.4,0.0,6.5,4.985714285714286,0.5333333333333333,0.0,3,0.0,2.385714285714286
2000-03-09,140.05,3.73,5.06,1.0,0,0.0,-0.7,0.0,6.0,4.071428571428571,0.5666666666666667,0.0,3,26.0,2.6571428571428575
2000-03-10,139.99,3.48,5.04,0.0,0,0.0,0.2,0.0,4.5,3.185714285714286,0.5666666666666667,0.0,3,26.0,3.1571428571428575
2000-03-11,139.9,3.26,5.03,0.0,0,0.0,4.0,0.0,4.5,2.7285714285714286,0.5666666666666667,0.0,3,26.0,3.3714285714285714
2000-03-12,139.83,3.28,5.04,0.0,0,0.0,4.8,0.0,4.5,2.2857142857142856,0.5666666666666667,0.0,3,26.0,4.242857142857143
2000-03-13,139.77,4.09,4.53,0.0,0,0.0,2.5,0.0,4.5,2.157142857142857,0.5666666666666667,0.0,3,26.0,4.714285714285714
2000-03-14,139.75,3.61,4.27,0.0,0,0.0,2.2,0.0,4.5,2.057142857142857,0.5666666666666667,0.0,3,26.0,5.028571428571429
2000-03-15,139.73,3.84,4.27,0.0,0,0.0,3.7,0.0,4.5,2.385714285714286,0.5666666666666667,0.0,3,26.0,5.1000000000000005
2000-03-16,139.73,4.89,4.25,20.0,21,26.0,1.2,26.0,30.5,2.6571428571428575,1.2333333333333334,21.0,3,1.5,5.685714285714286
