,StorageLevel,Inflow,Outflow,Precipitation,AvgTemp,SnowDepth,Snowfall,Precip_7d_sum,Precip_30d_sum,Temp_7d_avg,SnowDepth_30d_avg,Snowfall_7d_sum,Month,Forecast_Precip_7d_sum,Forecast_Temp_7d_avg,Forecast_1M_Precip_Below,Forecast_1M_Precip_Normal,Forecast_1M_Precip_Above,Forecast_1M_Temp_Below,Forecast_1M_Temp_Normal,Forecast_1M_Temp_Above
2000-01-30,232.66,8.26,8.16,7.0,0.2,7.0,10.0,10.0,130.0,-2.1,4.733333333333333,30.0,1,9.0,0.7857142857142857,10,32,58,18,45,37
2000-01-31,232.66,8.26,8.16,4.0,-2.1,12.0,11.0,13.0,134.0,-2.585714285714286,5.033333333333333,39.0,1,13.0,1.2714285714285711,10,33,57,19,59,22
2000-02-01,232.66,7.43,8.16,0.0,-0.2,8.0,1.0,13.0,134.0,-2.1142857142857143,5.233333333333333,33.0,2,14.0,1.5571428571428572,12,18,70,58,31,11
2000-02-02,232.58,7.11,8.15,0.0,3.1,4.0,1.0,11.0,110.0,-0.8142857142857142,5.033333333333333,28.0,2,21.0,1.1142857142857143,6,40,54,56,25,19
2000-02-03,232.48,7.11,8.15,1.0,0.6,2.0,2.0,12.0,95.0,0.14285714285714285,5.0,29.0,2,24.0,0.9142857142857144,12,29,59,56,30,14
2000-02-04,232.36,7.04,7.87,0.0,0.5,0.0,0.0,12.0,95.0,0.4714285714285714,5.0,28.0,2,26.0,1.0,25,19,56,59,20,21
2000-02-05,232.46,8.45,6.37,0.0,2.3,0.0,0.0,12.0,86.0,0.6285714285714287,5.0,25.0,2,35.0,0.7142857142857143,12,22,66,51,28,21
2000-02-06,232.65,8.36,6.38,4.0,1.3,4.0,4.0,9.0,90.0,0.7857142857142857,5.133333333333334,19.0,2,31.0,0.5142857142857143,13,36,51,63,27,10
2000-02-07,232.83,8.33,7.39,8.0,1.3,9.0,5.0,13.0,96.0,1.2714285714285711,5.433333333333334,13.0,2,26.0,0.4428571428571429,15,23,62,51,29,20
2000-02-08,232.78,7.07,8.01,1.0,1.8,0.0,0.0,14.0,97.0,1.5571428571428572,5.433333333333334,12.0,2,27.0,-0.09999999999999999,8,34,58,67,21,12
2000-02-09,232.71,7.28,8.01,7.0,0.0,5.0,5.0,21.0,95.0,1.1142857142857143,5.6,16.0,2,32.0,-0.8285714285714285,14,19,67,67,18,15
2000-02-10,232.63,7.21,7.73,4.0,-0.8,12.0,8.0,24.0,90.0,0.9142857142857144,5.633333333333334,22.0,2,32.0,-1.157142857142857,7,29,64,61,22,17
2000-02-11,232.72,8.34,6.26,2.0,1.1,6.0,4.0,26.0,89.0,1.0,5.766666666666667,26.0,2,34.0,-1.6142857142857143,10,32,58,54,30,16
2000-02-12,232.92,8.59,6.26,9.0,0.3,8.0,10.0,35.0,74.0,0.7142857142857143,5.733333333333333,36.0,2,27.0,-1.9000000000000001,22,26,52,66,29,5
2000-02-13,233.12,7.95,6.27,0.0,-0.1,7.0,0.0,31.0,72.0,0.5142857142857143,5.966666666666667,32.0,2,27.0,-1.8000000000000003,13,28,59,62,23,15
2000-02-14,233.19,6.7,7.37,3.0,0.8,3.0,3.0,26.0,75.0,0.4428571428571429,6.066666666666666,30.0,2,28.0,-2.185714285714286,20,29,51,70,24,6
2000-02-15,233.05,6.2,8.08,2.0,-2.0,6.0,4.0,27.0,77.0,-0.09999999999999999,6.266666666666667,34.0,2,38.0,-2.2857142857142856,10,28,62,63,23,14
2000-02-16,232.85,5.9,8.09,12.0,-5.1,19.0,17.0,32.0,89.0,-0.8285714285714285,6.9,46.0,2,26.0,-1.8142857142857145,13,30,57,56,34,10
2000-02-17,232.63,5.89,8.08,4.0,-3.1,19.0,9.0,32.0,93.0,-1.157142857142857,7.533333333333333,47.0,2,29.0,-1.842857142857143,7,30,63,70,21,9
2000-02-18,232.43,5.88,8.07,4.0,-2.1,23.0,8.0,34.0,97.0,-1.6142857142857143,8.3,51.0,2,26.0,-2.142857142857143,8,30,62,68,21,11
2000-02-19,232.21,5.56,8.06,2.0,-1.7,20.0,7.0,27.0,96.0,-1.9000000000000001,8.966666666666667,48.0,2,25.0,-2.157142857142857,18,23,59,59,28,13
2000-02-20,231.95,5.54,8.05,0.0,0.6,11.0,2.0,27.0,77.0,-1.8000000000000003,8.566666666666666,50.0,2,33.0,-2.371428571428571,16,32,52,61,32,7
2000-02-21,231.77,6.88,7.34,4.0,-1.9,21.0,16.0,28.0,81.0,-2.185714285714286,8.6,63.0,2,39.0,-2.2714285714285714,9,24,67,65,27,8
2000-02-22,231.86,8.25,5.69,12.0,-2.7,37.0,20.0,38.0,93.0,-2.2857142857142856,9.466666666666667,79.0,2,35.0,-2.2714285714285714,20,45,35,55,27,18
2000-02-23,232.27,8.5,4.54,0.0,-1.8,24.0,1.0,26.0,92.0,-1.8142857142857145,10.1,63.0,2,35.0,-2.2714285714285714,23,20,57,55,32,13
2000-02-24,232.58,8.11,5.19,7.0,-3.3,30.0,15.0,29.0,99.0,-1.842857142857143,10.866666666666667,69.0,2,28.0,-1.3000000000000003,14,21,65,26,49,25
2000-02-25,232.8,5.64,5.22,1.0,-4.2,28.0,5.0,26.0,98.0,-2.142857142857143,11.466666666666667,66.0,2,27.0,-0.14285714285714293,8,26,66,19,55,26
2000-02-26,232.58,3.8,5.36,1.0,-1.8,27.0,2.0,25.0,99.0,-2.157142857142857,12.066666666666666,61.0,2,26.0,0.48571428571428565,5,35,60,20,53,27
2000-02-27,232.66,6.99,5.53,8.0,-0.9,33.0,15.0,33.0,107.0,-2.371428571428571,13.0,74.0,2,18.0,1.2714285714285711,19,27,54,27,49,24
2000-02-28,232.81,6.73,6.21,10.0,-1.2,45.0,15.0,39.0,117.0,-2.2714285714285714,14.333333333333334,73.0,2,8.0,1.557142857142857,6,20,74,13,54,33
2000-02-29,232.73,5.81,6.85,8.0,-2.7,39.0,15.0,35.0,118.0,-2.2714285714285714,15.4,68.0,2,3.0,1.9142857142857144,23,20,57,18,55,27
2000-03-01,232.61,5.15,6.82,0.0,-1.8,38.0,1.0,35.0,114.0,-2.2714285714285714,16.266666666666666,68.0,3,11.0,1.8714285714285712,21,15,64,68,24,8
2000-03-02,232.5,6.31,6.0,0.0,3.5,31.0,0.0,28.0,114.0,-1.3000000000000003,17.033333333333335,53.0,3,25.0,0.7857142857142856,14,32,54,57,37,6
2000-03-03,232.62,7.33,6.39,0.0,3.9,25.0,2.0,27.0,114.0,-0.14285714285714293,17.733333333333334,50.0,3,30.0,-0.19999999999999998,10,25,65,69,18,13
2000-03-04,232.63,6.82,7.13,0.0,2.6,18.0,1.0,26.0,113.0,0.48571428571428565,18.266666666666666,49.0,3,30.0,-0.37142857142857144,10,34,56,62,18,20
2000-03-05,232.69,9.04,7.58,0.0,4.6,15.0,2.0,18.0,113.0,1.2714285714285711,18.766666666666666,36.0,3,30.0,-0.8714285714285713,6,31,63,54,34,12
2000-03-06,232.81,8.9,8.17,0.0,0.8,9.0,1.0,8.0,113.0,1.557142857142857,19.066666666666666,22.0,3,36.0,-1.1857142857142855,6,27,67,71,24,5
2000-03-07,232.85,8.28,8.18,3.0,-0.2,8.0,9.0,3.0,112.0,1.9142857142857144,19.2,16.0,3,37.0,-1.2142857142857142,14,31,55,55,24,21
2000-03-08,232.81,7.23,8.17,8.0,-2.1,17.0,13.0,11.0,112.0,1.8714285714285712,19.466666666666665,28.0,3,30.0,-0.857142857142857,16,29,55,59,18,23
2000-03-09,232.65,6.16,8.14,14.0,-4.1,34.0,23.0,25.0,125.0,0.7857142857142856,20.6,51.0,3,34.0,-0.3571428571428571,17,23,60,65,28,7
2000-03-10,232.45,6.22,7.47,5.0,-3.0,35.0,6.0,30.0,123.0,-0.19999999999999998,21.6,55.0,3,33.0,0.2000000000000001,19,26,55,57,38,5
2000-03-11,232.5,7.31,5.85,0.0,1.4,26.0,1.0,30.0,119.0,-0.37142857142857144,22.066666666666666,55.0,3,33.0,0.3285714285714287,20,23,57,67,22,11
2000-03-12,232.64,7.18,6.03,0.0,1.1,15.0,0.0,30.0,117.0,-0.8714285714285713,22.366666666666667,53.0,3,33.0,1.3285714285714287,12,35,53,62,17,21
2000-03-13,232.82,8.46,4.56,6.0,-1.4,18.0,14.0,36.0,114.0,-1.1857142857142855,22.7,66.0,3,27.0,1.985714285714286,17,33,50,54,33,13
2000-03-14,233.34,9.15,3.32,4.0,-0.4,26.0,8.0,37.0,118.0,-1.2142857142857142,23.333333333333332,65.0,3,23.0,2.3142857142857145,10,21,69,48,28,24
2000-03-15,233.82,8.45,3.37,1.0,0.4,17.0,5.0,30.0,116.0,-0.857142857142857,23.8,57.0,3,23.0,2.4,18,31,51,59,19,22
2000-03-16,234.28,9.21,2.72,18.0,-0.6,36.0,25.0,34.0,132.0,-0.3571428571428571,24.8,59.0,3,5.0,2.728571428571428,5,32,63,64,27,9
2000-03-17,234.91,8.73,1.4,4.0,0.9,35.0,8.0,33.0,124.0,0.2000000000000001,25.333333333333332,61.0,3,12.0,3.1,9,27,64,17,43,40
2000-03-18,235.48,8.4,1.4,0.0,2.3,27.0,2.0,33.0,120.0,0.3285714285714287,25.6,62.0,3,21.0,2.7857142857142856,5,36,59,13,52,35
2000-03-19,236.1,11.06,1.4,0.0,8.1,18.0,1.0,33.0,116.0,1.3285714285714287,25.433333333333334,63.0,3,29.0,1.4285714285714288,8,20,72,23,47,30
2000-03-20,237.02,14.47,1.4,0.0,3.2,10.0,1.0,27.0,114.0,1.985714285714286,25.1,50.0,3,30.0,1.0571428571428574,25,22,53,18,46,36
2000-03-21,237.86,11.52,1.4,0.0,1.9,4.0,1.0,23.0,114.0,2.3142857142857145,24.866666666666667,43.0,3,31.0,1.142857142857143,17,34,49,9,55,36
2000-03-22,238.51,10.13,1.45,1.0,1.0,5.0,3.0,23.0,111.0,2.4,24.333333333333332,41.0,3,61.0,2.3714285714285714,5,20,75,21,49,30
2000-03-23,239.08,9.5,1.5,0.0,1.7,0.0,0.0,5.0,99.0,2.728571428571428,23.1,16.0,3,71.0,2.8714285714285714,15,29,56,13,62,25
2000-03-24,239.73,14.71,1.5,11.0,3.5,0.0,0.0,12.0,110.0,3.1,22.3,8.0,3,61.0,3.542857142857143,22,25,53,17,50,33
2000-03-25,240.66,14.32,1.5,9.0,0.1,4.0,7.0,21.0,112.0,2.7857142857142856,21.433333333333334,13.0,3,59.0,4.1571428571428575,12,29,59,25,51,24
2000-03-26,241.34,11.15,1.5,8.0,-1.4,14.0,17.0,29.0,119.0,1.4285714285714288,20.966666666666665,29.0,3,51.0,5.028571428571429,7,27,66,11,53,36
2000-03-27,241.88,9.25,1.5,1.0,0.6,16.0,3.0,30.0,119.0,1.0571428571428574,20.6,31.0,3,50.0,5.385714285714286,18,27,55,22,29,49
2000-03-28,242.3,8.36,3.59,1.0,2.5,2.0,2.0,31.0,112.0,1.142857142857143,19.566666666666666,32.0,3,49.0,5.671428571428572,5,33,62,23,24,53
2000-03-29,243.24,50.29,17.49,31.0,9.6,0.0,0.0,61.0,133.0,2.3714285714285714,18.066666666666666,29.0,3,33.0,5.228571428571429,19,26,55,5,23,72
2000-03-30,244.78,41.87,32.08,10.0,5.2,0.0,0.0,71.0,135.0,2.8714285714285714,16.766666666666666,29.0,3,23.0,5.385714285714286,16,28,56,13,22,65
2000-03-31,244.73,23.38,25.54,1.0,8.2,0.0,0.0,61.0,136.0,3.542857142857143,15.5,29.0,3,22.0,5.085714285714286,14,31,55,7,23,70
2000-04-01,245.24,30.64,17.84,7.0,4.4,0.0,0.0,59.0,143.0,4.1571428571428575,14.466666666666667,22.0,4,17.0,5.4142857142857155,17,25,58,52,30,18
2000-04-02,245.59,20.25,18.22,0.0,4.7,0.0,0.0,51.0,143.0,5.028571428571429,13.633333333333333,5.0,4,17.0,5.671428571428572,20,18,62,53,25,22
2000-04-03,245.63,18.23,17.13,0.0,3.1,0.0,0.0,50.0,143.0,5.385714285714286,13.033333333333333,2.0,4,34.0,6.428571428571429,5,19,76,54,34,12
2000-04-04,245.78,21.53,15.27,0.0,4.5,0.0,0.0,49.0,143.0,5.671428571428572,12.533333333333333,0.0,4,60.0,6.328571428571429,16,35,49,68,23,9
2000-04-05,246.31,33.78,15.26,15.0,6.5,0.0,0.0,33.0,158.0,5.228571428571429,12.233333333333333,0.0,4,57.0,6.2,7,27,66,64,19,17
