鳴子,（※空欄はデータがなし）
年月日,貯水位（m）,流入量（m3/S）,放流量（m3/S）
1993/1/1,241.2,6.62,12.89
1993/1/2,240.8,7.21,12.74
1993/1/3,240.75,16.59,12.83
1993/1/4,240.86,11.42,12.84
1993/1/5,260.35,5.71,20.31
1993/1/6,239.27,3.54,20.82
1993/1/7,238.23,4.03,18.74
1993/1/8,237.57,8.28,10.64
1993/1/9,237.41,7.48,10.12
1993/1/10,237.22,7.74,10.1
1993/1/11,237.34,9.63,3.66
1993/1/12,237.79,8.61,3.06
1993/1/13,238.18,8.7,3.08
1993/1/14,238.55,8.61,3.11
1993/1/15,238.93,8.56,3.15
1993/1/16,238.3,8.73,3.16
1993/1/17,239.66,8.14,3.17
1993/1/18,239.96,7.75,3.17
1993/1/19,240.27,7.88,3.2
1993/1/20,240.57,7.92,3.23
1993/1/21,240.86,7.16,2.79
1993/1/22,241.12,6.7,2.7
1993/1/23,241.41,6.12,0.49
1993/1/24,241.78,5.89,0.1
1993/1/25,242,5.95,4.82
1993/1/26,242.1,6.88,3.91
1993/1/27,242.31,7.09,3.31
1993/1/28,242.53,6.62,3.33
1993/1/29,242.73,6.46,3.35
1993/1/30,242.96,7.34,3.37
1993/1/31,243.17,6.74,3.38
1993/2/1,243.36,6.57,3.38
1993/2/2,243.53,5.34,3.16
1993/2/3,243.63,5.06,3.38
1993/2/4,243.72,4.72,3.38
1993/2/5,243.82,6.24,3.38
1993/2/6,244.61,36.17,3.43
1993/2/7,248.34,94.9,13.59
1993/2/8,250.39,27.71,9.3
1993/2/9,250.81,16.01,12.13
1993/2/10,251,13.11,8.21
1993/2/11,251.15,11.83,9.72
1993/2/12,251.08,9.33,16.55
1993/2/13,250.58,7.89,19.73
1993/2/14,250,6.81,19.99
1993/2/15,249.58,7.72,12.17
1993/2/16,249.37,7.59,12.02
1993/2/17,249.11,8.61,16.34
1993/2/18,248.8,7.72,12.02
1993/2/19,248.56,6.86,11.98
1993/2/20,248.3,6.44,11.97
1993/2/21,248.04,7.08,11.96
1993/2/22,247.81,7.79,11.95
1993/2/23,247.62,7.97,11.93
1993/2/24,247.39,6.77,11.92
1993/2/25,247.12,6.38,11.9
1993/2/26,246.82,6.15,11.88
1993/2/27,246.52,5.95,11.86
1993/2/28,246.24,7.64,11.84
1993/3/1,246.02,6.75,11.83
1993/3/2,245.73,6.47,11.81
1993/3/3,245.45,6.54,11.87
1993/3/4,245.14,6.3,12
1993/3/5,244.83,7.45,11.97
1993/3/6,244.83,15.38,11.95
1993/3/7,244.94,12.31,11.96
1993/3/8,244.88,9.13,12.02
1993/3/9,244.68,8.17,12.14
1993/3/10,244.44,7.75,12.1
1993/3/11,244.18,7.62,12.07
1993/3/12,243.91,7.16,12.05
1993/3/13,243.61,6.66,12.02
1993/3/14,243.29,6.61,11.98
