釜房,（※空欄はデータがなし）
年月日,貯水位（m）,流入量（m3/S）,放流量（m3/S）
1993/1/1,143.94,4.23,4.23
1993/1/2,143.92,2.98,4.12
1993/1/3,143.9,4.03,4.03
1993/1/4,144.04,8.54,3.96
1993/1/5,144.07,4.52,3.94
1993/1/6,144.07,3.74,4.03
1993/1/7,144.08,5.09,3.94
1993/1/8,144.12,4.6,4.02
1993/1/9,144.13,3.97,3.97
1993/1/10,144.13,4.05,4.05
1993/1/11,144.15,4.69,4.11
1993/1/12,144.14,3.46,4.04
1993/1/13,144.12,3.39,3.97
1993/1/14,144.11,3.63,3.92
1993/1/15,144.1,4.17,3.88
1993/1/16,144.12,4.22,3.93
1993/1/17,144.13,4.39,4.1
1993/1/18,144.12,3.53,4.11
1993/1/19,144.1,3.82,4.11
1993/1/20,144.08,3.28,4.14
1993/1/21,144.07,3.79,4.08
1993/1/22,144.04,3.18,4.04
1993/1/23,144.01,2.9,4.05
1993/1/24,143.97,3.24,4.1
1993/1/25,143.99,6.3,4.01
1993/1/26,144.09,6.38,4.08
1993/1/27,144.15,5.62,4.17
1993/1/28,144.2,5.83,4.09
1993/1/29,144.23,3.85,3.85
1993/1/30,144.24,4.24,3.95
1993/1/31,144.24,4.28,3.99
1993/2/1,144.24,3.93,4.51
1993/2/2,144.22,3.96,4.54
1993/2/3,144.19,3.63,4.79
1993/2/4,144.16,4.11,4.69
1993/2/5,144.13,3.8,4.66
1993/2/6,144.23,13.66,4.61
1993/2/7,144.83,26.36,4.63
1993/2/8,145.26,15.67,4.71
1993/2/9,145.58,9.72,5.26
1993/2/10,145.68,7.44,5.19
1993/2/11,145.74,6.91,4.97
1993/2/12,145.77,5.5,5.5
1993/2/13,145.76,5.09,5.41
1993/2/14,145.75,4.9,5.87
1993/2/15,145.73,5.44,5.44
1993/2/16,145.72,5.56,5.56
1993/2/17,145.79,10.99,7.43
1993/2/18,145.86,8.89,7.59
1993/2/19,145.88,7.59,7.59
1993/2/20,145.87,6.89,7.54
1993/2/21,145.86,7.73,7.4
1993/2/22,145.91,10.51,7.57
1993/2/23,146.01,10.87,7.58
1993/2/24,146.08,8.92,7.6
1993/2/25,146.1,7.62,7.62
1993/2/26,146.09,6.88,7.54
1993/2/27,146.06,6.52,7.51
1993/2/28,146.04,7.14,7.47
1993/3/1,146.02,6.55,7.54
1993/3/2,145.99,5.89,7.53
1993/3/3,145.93,5.89,7.53
1993/3/4,145.88,5.96,7.59
1993/3/5,145.84,6.66,7.64
1993/3/6,145.85,9.12,7.49
1993/3/7,145.93,10.78,7.51
1993/3/8,146,8.56,7.57
1993/3/9,146.01,7.63,7.63
1993/3/10,146.01,7.25,7.58
1993/3/11,145.99,6.9,7.56
1993/3/12,145.95,5.6,7.57
1993/3/13,145.9,5.88,7.51
1993/3/14,145.84,5.61,7.56
1993/3/15,145.77,5,7.59
1993/3/16,145.69,5.02,7.59
1993/3/17,145.6,4.7,7.58
1993/3/18,145.52,5.03,7.57
1993/3/19,145.43,4.38,7.54
1993/3/20,145.33,4.35,7.48
1993/3/21,145.23,4.4,7.51
1993/3/22,145.13,4.56,7.65
1993/3/23,145.04,5.51,7.66
1993/3/24,145.04,8.89,5.51
1993/3/25,145.24,13.28,5.18
1993/3/26,145.5,12.51,5.22
1993/3/27,145.73,12.26,5.17
1993/3/28,145.93,11.66,5.12
1993/3/29,146.11,9.75,5.11
1993/3/30,146.22,8.66,5.31
1993/3/31,146.33,10.69,5.28
1993/4/1,146.64,19.43,5.25
1993/4/2,146.99,17.59,7.65
1993/4/3,147.24,16.32,7.66
