胆沢,（※空欄はデータがなし）
年月日,貯水位（m）,流入量（m3/S）,放流量（m3/S）
2014/1/1,344.04,7.15,6.42
2014/1/2,344.06,6.61,6.59
2014/1/3,344.04,6.05,6.39
2014/1/4,344.02,5.59,6.27
2014/1/5,344,5.02,6.06
2014/1/6,343.98,5.21,5.9
2014/1/7,343.95,4.68,5.73
2014/1/8,343.93,4.89,5.58
2014/1/9,343.92,5.51,5.49
2014/1/10,343.92,5.51,5.49
2014/1/11,343.92,5.52,5.5
2014/1/12,343.92,5.47,5.45
2014/1/13,343.92,5.87,5.49
2014/1/14,343.91,3.99,5.4
2014/1/15,343.88,4.54,5.23
2014/1/16,343.87,4.75,5.12
2014/1/17,343.85,4.3,5
2014/1/18,343.83,4.53,4.88
2014/1/19,343.82,4.1,4.8
2014/1/20,343.81,4.34,4.69
2014/1/21,343.8,4.26,4.61
2014/1/22,343.78,4.53,4.52
2014/1/23,343.79,4.18,4.53
2014/1/24,343.77,3.71,4.41
2014/1/25,343.76,4.75,4.38
2014/1/26,343.79,6.38,4.58
2014/1/27,343.83,5.19,4.82
2014/1/28,343.84,5.99,4.91
2014/1/29,343.86,5.11,5.1
2014/1/30,343.85,5.03,5.02
2014/1/31,343.88,6.28,5.2
2014/2/1,343.89,4.9,5.25
2014/2/2,343.89,6,5.28
2014/2/3,343.95,9.62,5.68
2014/2/4,344.09,11.55,6.82
2014/2/5,344.18,9.44,7.59
2014/2/6,344.18,6.93,7.66
2014/2/7,344.16,6.37,7.46
2014/2/8,344.13,6.46,7.19
2014/2/9,344.11,6.33,7.06
2014/2/10,344.08,5.7,6.79
2014/2/11,344.05,5.07,6.49
2014/2/12,344.02,5.13,6.19
2014/2/13,343.98,4.88,5.94
2014/2/14,343.95,4.66,5.72
2014/2/15,343.93,5.24,5.59
2014/2/16,343.92,4.81,5.51
2014/2/17,343.9,4.97,5.32
2014/2/18,343.88,3.7,5.12
2014/2/19,343.85,4.2,4.9
2014/2/20,343.83,3.66,4.72
2014/2/21,343.81,4.23,4.58
2014/2/22,343.79,3.75,4.45
2014/2/23,343.77,3.61,4.31
2014/2/24,343.75,3.47,4.17
2014/2/25,343.73,3.69,4.04
2014/2/26,343.72,3.25,3.95
2014/2/27,343.71,3.89,3.88
2014/2/28,343.76,8.52,4.22
2014/3/1,343.87,7.54,5.03
2014/3/2,343.91,6.09,5.37
2014/3/3,343.93,5.87,5.5
2014/3/4,343.93,5.53,5.52
2014/3/5,343.93,5.47,5.46
2014/3/6,343.93,5.53,5.52
2014/3/7,343.94,5.56,5.56
2014/3/8,343.94,6.3,5.58
2014/3/9,343.92,4,5.43
2014/3/10,343.9,4.57,5.27
2014/3/11,343.88,4.45,5.15
2014/3/12,343.86,4.29,4.98
2014/3/13,343.84,4.87,4.85
2014/3/14,343.85,5.32,4.94
2014/3/15,343.85,4.59,4.93
2014/3/16,343.84,4.52,4.86
2014/3/17,343.83,4.07,4.76
2014/3/18,343.82,5.45,4.72
2014/3/19,343.86,6.41,4.96
2014/3/20,343.91,7.91,5.39
2014/3/21,343.96,6.52,5.79
2014/3/22,343.96,5.44,5.78
2014/3/23,343.95,5.37,5.71
2014/3/24,343.94,5.66,5.64
2014/3/25,343.99,10.32,6.01
2014/3/26,344.34,28.83,8.95
2014/3/27,344.83,30.73,13.79
2014/3/28,345.32,33.5,10.89
2014/3/29,346.1,41.7,6.72
2014/3/30,347.02,52.18,15.58
2014/3/31,347.9,52.42,32.79
2014/4/1,347.91,29.97,37.15
2014/4/2,347.7,26.23,33.8
2014/4/3,347.59,34.66,35.03
2014/4/4,348.02,88.62,59.52
2014/4/5,348.22,54.74,68.97
2014/4/6,347.65,31.76,57.34
2014/4/7,347.02,21.63,45.19
2014/4/8,346.59,24.35,27.42
2014/4/9,346.9,27.01,9.5
2014/4/10,347.28,28.91,20.48
2014/4/11,347.24,26.59,34.16
2014/4/12,347.03,24.97,33.55
2014/4/13,346.82,26.74,32.9
2014/4/14,346.7,28.97,31.65
2014/4/15,346.68,33,31.42
2014/4/16,346.8,42.57,38.28
2014/4/17,346.72,39.67,47.78
2014/4/18,346.48,34.69,45.51
2014/4/19,346.19,32.26,43.08
2014/4/20,345.93,33.37,41.34
2014/4/21,345.78,32.48,37.4
2014/4/22,345.75,41.26,35.53
2014/4/23,345.97,44.23,38.5
2014/4/24,346.02,47.32,44.62
2014/4/25,346.15,52.1,46.66
2014/4/26,346.27,56,50.95
2014/4/27,346.45,62.16,52.46
2014/4/28,346.67,63.19,61.24
2014/4/29,346.55,61.24,68.21
2014/4/30,346.37,58.45,66.58
2014/5/1,346.53,93.4,67.08
2014/5/2,347.22,89.51,72.05
2014/5/3,347.41,79.86,76.66
2014/5/4,347.39,68.48,76.48
2014/5/5,347.05,56.29,72.43
2014/5/6,346.7,57.1,68.33
2014/5/7,346.36,49.34,65.21
2014/5/8,345.94,48.07,58.79
2014/5/9,345.96,59.34,54.02
2014/5/10,346.02,55.4,58.06
2014/5/11,345.85,52.17,57.11
2014/5/12,345.75,53.24,56.66
2014/5/13,345.8,64.84,56.85
2014/5/14,345.99,65.09,57.82
2014/5/15,346.1,56.49,58.43
2014/5/16,346.06,58.53,58.14
2014/5/17,346.31,72.78,60.01
2014/5/18,346.34,52.56,60.3
2014/5/19,346.06,46.67,58.19
2014/5/20,345.72,42.32,56.45
2014/5/21,345.45,55.1,55.85
2014/5/22,345.77,69.34,56.36
2014/5/23,345.79,49.56,55.27
2014/5/24,345.6,43.05,51.45
2014/5/25,345.39,42.71,51.32
2014/5/26,345.16,38.07,42.19
2014/5/27,345.28,44.58,36.35
2014/5/28,345.43,37.94,32.7
2014/5/29,345.58,35.26,30.68
2014/5/30,345.66,33.45,30.76
2014/5/31,345.72,32.81,30.91
2014/6/1,345.75,31.4,31.02
2014/6/2,345.74,28.68,30.96
2014/6/3,345.66,25.25,27.54
2014/6/4,345.63,24.39,25.57
2014/6/5,345.6,23.58,25.51
2014/6/6,345.61,27.45,25.52
2014/6/7,345.62,26.71,25.53
2014/6/8,345.98,68.07,40.08
2014/6/9,346.37,53.62,59.43
2014/6/10,346.19,43.44,49.25
2014/6/11,345.92,37.91,51.62
2014/6/12,345.8,84.03,67.23
2014/6/13,346.23,67.7,65.76
2014/6/14,346.2,40.82,42.76
2014/6/15,346.12,32.76,38.15
2014/6/16,345.9,26.37,36.64
2014/6/17,345.63,21.08,27.25
2014/6/18,345.54,16.68,19.67
2014/6/19,345.44,10.71,16.32
2014/6/20,345.34,14.07,16.31
2014/6/21,345.26,12.53,16.27
2014/6/22,345.15,11.81,16.3
2014/6/23,345.02,11.07,16.23
2014/6/24,344.82,10.48,22.25
2014/6/25,344.39,9.31,26.22
2014/6/26,343.95,9.37,21.98
2014/6/27,343.68,8.74,18.39
2014/6/28,343.39,10.12,20.48
2014/6/29,343.23,23.17,25.31
2014/6/30,343.02,14.39,24.3
2014/7/1,342.84,13.23,17.76
2014/7/2,342.72,11.76,15.95
2014/7/3,342.59,10.71,15.94
2014/7/4,342.43,9.78,16.06
2014/7/5,342.24,8.66,15.98
2014/7/6,342.01,8.05,15.96
2014/7/7,341.77,7.03,15.92
2014/7/8,341.51,7.36,15.91
2014/7/9,341.25,6.64,15.88
2014/7/10,341.12,22.63,15.45
2014/7/11,341.95,48.51,15.52
2014/7/12,342.4,21.96,16.03
2014/7/13,342.46,16.72,16.02
2014/7/14,342.47,14.62,16.02
2014/7/15,342.39,12.17,16.01
2014/7/16,342.27,12.17,16.01
2014/7/17,342.16,12.16,16
2014/7/18,342.04,11.3,15.77
2014/7/19,341.94,15.56,15.22
2014/7/20,342.23,29.5,15.25
2014/7/21,342.46,18.67,16.93
2014/7/22,342.39,14.39,19.27
2014/7/23,342.2,12.36,20.03
2014/7/24,341.98,12.45,19.99
2014/7/25,341.73,10.71,19.26
2014/7/26,341.5,9.3,16.83
2014/7/27,341.29,10.31,16.81
2014/7/28,341.08,9.28,18.76
2014/7/29,340.73,7.8,20.87
2014/7/30,340.31,6.76,21.84
2014/7/31,339.86,7.34,21.81
2014/8/1,339.43,7.85,20.99
2014/8/2,339.05,7.34,20.01
2014/8/3,338.64,6.12,19.96
2014/8/4,338.21,6.51,19.98
2014/8/5,337.78,6.12,19.96
2014/8/6,337.34,5.9,20.06
2014/8/7,336.88,6.05,19.93
2014/8/8,336.67,31.91,19.28
2014/8/9,337.17,21.44,18.92
2014/8/10,337.51,80.38,18.91
2014/8/11,340.62,93.07,19.49
2014/8/12,341.54,32.88,19.88
2014/8/13,341.7,20.06,20.06
2014/8/14,341.61,14.92,20.05
2014/8/15,341.44,15.47,19.92
2014/8/16,341.31,13.26,19.76
2014/8/17,341.14,14.62,19.74
2014/8/18,340.96,13.23,19.93
2014/8/19,340.73,11.64,20.02
2014/8/20,340.47,11.32,20.03
2014/8/21,340.37,26.42,20.05
2014/8/22,340.57,21.02,20.01
2014/8/23,340.6,19.56,19.9
2014/8/24,340.46,13.18,19.88
2014/8/25,340.23,10.69,19.74
2014/8/26,339.94,9.86,19.73
2014/8/27,339.63,8.88,19.07
2014/8/28,339.34,9.87,17.76
2014/8/29,339.16,15.67,17.64
2014/8/30,339.12,13.01,17.59
2014/8/31,338.92,9.86,17.58
2014/9/1,338.68,8.59,15
2014/9/2,338.51,7.7,13.45
2014/9/3,338.32,7.02,13.42
2014/9/4,338.11,6.73,13.4
2014/9/5,337.92,8.41,13.4
2014/9/6,337.73,6.52,13.4
2014/9/7,337.51,6.18,13.38
2014/9/8,337.27,5.53,13.36
2014/9/9,337.01,5.32,13.34
2014/9/10,336.76,5.2,11.01
2014/9/11,336.69,4.71,5.28
2014/9/12,336.66,4.39,5.26
2014/9/13,336.64,4.38,5.25
2014/9/14,336.6,4.07,5.25
2014/9/15,336.56,4.07,5.25
2014/9/16,336.52,4.07,5.25
2014/9/17,336.47,3.77,5.26
2014/9/18,336.43,3.77,5.26
2014/9/19,336.38,5,5.26
2014/9/20,336.39,4.69,5.26
2014/9/21,336.35,4.09,5.27
2014/9/22,336.3,3.47,5.27
2014/9/23,336.24,3.47,5.27
2014/9/24,336.18,4.09,5.27
2014/9/25,336.53,23.8,5.28
2014/9/26,336.86,9.65,5.29
2014/9/27,336.95,7.19,5.29
2014/9/28,336.99,6.26,5.29
2014/9/29,337,5.03,5.3
2014/9/30,336.98,4.42,5.29
2014/10/1,336.94,4.09,5.32
2014/10/2,336.9,4.4,5.32
2014/10/3,336.9,5.31,5.31
2014/10/4,336.87,4.08,5.31
2014/10/5,336.83,3.77,5.31
2014/10/6,337.1,31.55,5.31
2014/10/7,337.87,16.99,5.35
2014/10/8,338.1,10.45,5.34
2014/10/9,338.21,8.23,5.33
2014/10/10,338.29,6.94,5.33
2014/10/11,338.33,6.29,5.32
2014/10/12,338.35,5.96,5.32
2014/10/13,338.37,7.89,5.32
2014/10/14,339.96,87.22,5.27
2014/10/15,341.31,27.01,5.21
2014/10/16,341.75,15.82,5.22
2014/10/17,342,12.42,5.22
2014/10/18,342.17,10.45,5.22
2014/10/19,342.3,9.42,5.23
2014/10/20,342.4,8.38,5.24
2014/10/21,342.51,9.72,4.49
2014/10/22,342.7,9.98,4.05
2014/10/23,342.83,8.28,4.44
2014/10/24,342.91,7.72,5.28
2014/10/25,342.97,7.04,5.28
2014/10/26,343.02,6.69,5.28
2014/10/27,343.05,6.67,5.25
2014/10/28,343.14,10.25,5.25
2014/10/29,343.32,12.77,5.27
2014/10/30,343.55,13.87,5.29
2014/10/31,343.78,12.07,5.28
2014/11/1,343.94,11.74,5.67
2014/11/2,344.12,13.65,5.97
2014/11/3,344.42,20.26,10.7
2014/11/4,344.59,16.36,9.01
2014/11/5,344.76,13.02,10.81
2014/11/6,344.73,10.91,13.48
2014/11/7,344.64,9.48,13.52
2014/11/8,344.51,8.41,13.56
2014/11/9,344.36,8.02,13.54
2014/11/10,344.26,7.58,10.52
2014/11/11,344.19,6.57,8.04
2014/11/12,344.16,6.95,8.05
2014/11/13,344.14,11.49,10.39
2014/11/14,344.19,11.49,10.39
2014/11/15,344.24,10.63,7.32
2014/11/16,344.35,9.51,5.47
2014/11/17,344.45,8.78,5.47
2014/11/18,344.55,9.89,5.48
2014/11/19,344.67,9.52,5.48
2014/11/20,344.76,8.5,6.29
2014/11/21,344.79,8.6,7.86
2014/11/22,344.8,9.27,8.53
2014/11/23,344.9,14.41,8.53
2014/11/24,345.03,11.47,8.53
2014/11/25,345.07,9.97,9.6
2014/11/26,345.04,10.61,12.82
2014/11/27,344.96,11.45,14.39
2014/11/28,344.89,11.43,14.37
2014/11/29,345,34.32,15.38
2014/11/30,345.55,29.02,17.29
2014/12/1,345.85,36.05,18.13
2014/12/2,346.41,38.56,21.92
2014/12/3,346.62,26.84,23.74
2014/12/4,346.6,19.23,23.49
2014/12/5,346.46,15.99,22.18
2014/12/6,346.27,13.29,20.64
2014/12/7,346.08,11.16,19.23
2014/12/8,345.88,10.42,18.03
2014/12/9,345.67,9.54,17.22
2014/12/10,345.47,8.84,17.07
2014/12/11,345.26,10.69,17.05
2014/12/12,345.11,10.57,16.9
2014/12/13,344.92,9.85,16.84
2014/12/14,344.73,9.48,16.83
2014/12/15,344.51,8.36,16.82
2014/12/16,344.28,8.91,17
2014/12/17,344.06,8.74,17.07
2014/12/18,343.83,8.87,17.09
2014/12/19,343.62,7.62,12.98
2014/12/20,343.52,7.27,10.49
2014/12/21,343.46,8.33,10.47
2014/12/22,343.4,8.36,9.43
2014/12/23,343.38,6.98,8.77
2014/12/24,343.32,7.7,8.77
2014/12/25,343.28,6.99,8.78
2014/12/26,343.26,6.86,6.5
2014/12/27,343.29,6.21,5.14
2014/12/28,343.31,5.85,5.14
2014/12/29,343.33,5.96,5.25
2014/12/30,343.34,5.25,5.25
2014/12/31,343.36,6.32,5.25
2015/1/1,343.38,5.97,5.26
2015/1/2,343.38,4.9,5.26
2015/1/3,343.39,5.62,5.26
2015/1/4,343.37,4.55,5.26
2015/1/5,343.37,4.9,5.26
2015/1/6,343.36,5.62,5.26
2015/1/7,343.37,5.21,5.21
2015/1/8,343.36,4.86,5.22
2015/1/9,343.36,5.24,5.24
2015/1/10,343.36,5.23,5.23
2015/1/11,343.35,4.52,5.23
2015/1/12,343.34,4.88,5.24
2015/1/13,343.32,4.51,5.22
2015/1/14,343.3,4.15,5.22
2015/1/15,343.27,4.51,5.22
2015/1/16,343.24,4.15,5.22
2015/1/17,343.23,5.22,5.22
2015/1/18,343.22,4.14,5.21
2015/1/19,343.19,4.5,5.21
2015/1/20,343.17,3.77,5.2
2015/1/21,343.12,4.13,5.2
2015/1/22,343.09,4.13,5.2
2015/1/23,343.06,4.14,5.2
2015/1/24,343.03,3.79,5.2
2015/1/25,342.99,3.8,5.21
2015/1/26,342.95,3.8,5.2
2015/1/27,342.91,3.8,5.2
2015/1/28,342.87,3.8,5.2
2015/1/29,342.83,3.46,5.2
2015/1/30,342.79,4.5,5.2
2015/1/31,342.76,4.15,5.2
2015/2/1,342.73,4.15,5.2
2015/2/2,342.7,3.8,5.2
2015/2/3,342.66,3.46,5.2
2015/2/4,342.61,3.82,5.22
2015/2/5,342.56,3.1,5.19
2015/2/6,342.51,3.45,5.19
2015/2/7,342.45,3.46,5.2
2015/2/8,342.4,4.16,5.21
2015/2/9,342.36,3.13,5.22
2015/2/10,342.33,4.17,5.22
2015/2/11,342.27,3.14,5.23
2015/2/12,342.22,3.14,5.23
2015/2/13,342.18,4.53,5.23
2015/2/14,342.13,3.14,5.23
2015/2/15,342.09,3.83,5.23
