大倉,（※空欄はデータがなし）
年月日,貯水位（m）,流入量（m3/S）,放流量（m3/S）
1993/1/1,252.57,2.26,1.83
1993/1/2,252.63,2.21,1.83
1993/1/3,252.7,2.83,1.83
1993/1/4,252.84,2.68,1.84
1993/1/5,252.93,2.38,1.84
1993/1/6,252.99,2.23,1.85
1993/1/7,253.05,2.85,1.85
1993/1/8,253.2,2.71,1.87
1993/1/9,253.29,2.48,1.87
1993/1/10,253.37,2.41,1.88
1993/1/11,253.42,2.2,1.88
1993/1/12,253.45,2.04,1.88
1993/1/13,253.47,2.04,1.88
1993/1/14,253.49,2.04,1.88
1993/1/15,253.51,2.12,1.88
1993/1/16,253.54,2.04,1.88
1993/1/17,253.56,2.04,1.88
1993/1/18,253.57,1.8,1.88
1993/1/19,253.56,1.88,1.88
1993/1/20,253.56,1.88,1.88
1993/1/21,253.56,1.88,1.88
1993/1/22,253.55,1.72,1.88
1993/1/23,253.53,1.72,1.88
1993/1/24,253.51,1.72,1.88
1993/1/25,253.53,2.53,1.88
1993/1/26,253.61,2.37,1.88
1993/1/27,253.65,2.12,1.88
1993/1/28,253.69,2.3,1.73
1993/1/29,253.69,1.64,2.13
1993/1/30,253.72,2.06,1.65
1993/1/31,253.74,1.89,1.65
1993/2/1,253.77,1.73,1.65
1993/2/2,253.66,1.74,2.79
1993/2/3,253.65,1.73,1.65
1993/2/4,253.66,1.73,1.65
1993/2/5,253.67,1.81,1.65
1993/2/6,253.9,6.95,1.65
1993/2/7,255.52,20.36,1.71
1993/2/8,256.79,7.39,1.76
1993/2/9,257.19,4.61,1.77
1993/2/10,257.42,3.72,1.78
1993/2/11,257.58,3.24,1.79
1993/2/12,257.7,2.92,1.79
1993/2/13,257.8,2.72,1.79
1993/2/14,257.89,2.52,1.8
1993/2/15,257.91,2.26,2.78
1993/2/16,257.83,2.37,2.37
1993/2/17,258.05,5.39,1.65
1993/2/18,258.34,3.74,1.66
1993/2/19,258.49,2.92,1.67
1993/2/20,258.6,2.5,1.67
1993/2/21,258.69,2.82,1.67
1993/2/22,258.84,3.94,1.68
1993/2/23,259.04,3.52,1.68
1993/2/24,259.18,3.1,1.69
1993/2/25,259.29,2.45,1.69
1993/2/26,259.36,2.44,1.69
1993/2/27,259.43,2.45,1.69
1993/2/28,259.49,2.44,1.69
1993/3/1,259.57,2.46,1.7
1993/3/2,259.63,2.29,1.7
1993/3/3,259.68,2.29,1.7
1993/3/4,259.74,2.43,1.61
1993/3/5,259.82,3.24,1.7
1993/3/6,260.01,4.4,1.7
1993/3/7,260.24,4.09,1.71
1993/3/8,260.41,3.09,1.72
1993/3/9,260.51,2.74,1.72
1993/3/10,260.59,2.66,1.73
1993/3/11,260.66,2.32,1.73
1993/3/12,260.71,2.44,1.73
1993/3/13,260.75,2.08,1.73
1993/3/14,260.78,1.97,1.73
1993/3/15,260.81,2.08,1.73
1993/3/16,260.84,1.97,1.73
1993/3/17,260.86,2.2,1.73
1993/3/18,260.89,2.08,1.73
1993/3/19,260.92,2.09,1.73
1993/3/20,260.96,2.2,1.73
1993/3/21,261,2.19,1.73
1993/3/22,261.05,2.56,1.73
1993/3/23,261.15,3.42,1.74
1993/3/24,261.36,6.21,1.75
1993/3/25,261.9,9.2,1.76
1993/3/26,262.42,8.1,1.76
1993/3/27,262.9,7.88,1.77
1993/3/28,263.3,6.32,1.78
1993/3/29,263.59,4.91,1.8
1993/3/30,263.76,3.64,1.81
1993/3/31,263.93,5.47,1.81
1993/4/1,264.51,12.85,1.84
1993/4/2,265.28,12.16,1.85
1993/4/3,265.9,10.65,1.87
1993/4/4,266.43,9,1.88
1993/4/5,266.76,7.34,4.71
1993/4/6,266.85,5.75,5.14
1993/4/7,266.87,5.6,5.14
1993/4/8,266.89,4.83,5.14
1993/4/9,266.85,4.23,5.16
1993/4/10,266.76,3.81,5.2
1993/4/11,266.67,3.66,5.2
1993/4/12,266.63,3.75,3.29
1993/4/13,266.67,3.99,3.21
1993/4/14,266.74,4.46,3.23
1993/4/15,266.85,5.71,3.23
1993/4/16,267.08,7.84,3.31
1993/4/17,267.4,8.69,3.32
1993/4/18,267.82,11.47,3.33
1993/4/19,268.2,8.47,3.62
1993/4/20,268.43,6.87,3.64
1993/4/21,268.61,7.66,3.93
1993/4/22,268.86,10.84,6.31
