ダウンロードした時刻：2026/02/28 23:57:51

,白石,白石,白石
年月日,降水量の合計(mm),降水量の合計(mm),降水量の合計(mm)
,,品質情報,均質番号
1990/1/1,2,8,1
1990/1/2,1,8,1
1990/1/3,0,8,1
1990/1/4,0,8,1
1990/1/5,0,8,1
1990/1/6,0,8,1
1990/1/7,0,8,1
1990/1/8,0,8,1
1990/1/9,0,8,1
1990/1/10,3,8,1
1990/1/11,0,8,1
1990/1/12,0,8,1
1990/1/13,0,8,1
1990/1/14,0,8,1
1990/1/15,0,8,1
1990/1/16,1,8,1
1990/1/17,0,8,1
1990/1/18,0,8,1
1990/1/19,0,8,1
1990/1/20,1,8,1
1990/1/21,0,8,1
1990/1/22,3,8,1
1990/1/23,0,8,1
1990/1/24,2,8,1
1990/1/25,0,8,1
1990/1/26,0,8,1
1990/1/27,0,8,1
1990/1/28,0,8,1
1990/1/29,7,8,1
1990/1/30,0,8,1
1990/1/31,0,8,1
1990/2/1,8,8,1
1990/2/2,0,8,1
1990/2/3,0,8,1
1990/2/4,0,8,1
1990/2/5,2,8,1
1990/2/6,0,8,1
1990/2/7,0,8,1
1990/2/8,0,8,1
1990/2/9,0,8,1
1990/2/10,0,8,1
1990/2/11,2,8,1
1990/2/12,0,8,1
1990/2/13,0,8,1
1990/2/14,1,8,1
1990/2/15,7,8,1
1990/2/16,5,8,1
1990/2/17,1,8,1
1990/2/18,0,8,1
1990/2/19,3,8,1
1990/2/20,24,8,1
1990/2/21,0,8,1
1990/2/22,0,8,1
1990/2/23,5,8,1
1990/2/24,15,8,1
1990/2/25,5,8,1
1990/2/26,0,8,1
1990/2/27,0,8,1
1990/2/28,0,8,1
1990/3/1,0,8,1
1990/3/2,10,8,1
1990/3/3,5,8,1
1990/3/4,0,5,1
1990/3/5,0,8,1
1990/3/6,0,8,1
1990/3/7,0,8,1
1990/3/8,0,8,1
1990/3/9,0,8,1
1990/3/10,0,8,1
1990/3/11,0,8,1
1990/3/12,1,8,1
1990/3/13,1,8,1
1990/3/14,0,8,1
1990/3/15,3,8,1
1990/3/16,0,8,1
1990/3/17,0,8,1
1990/3/18,0,8,1
1990/3/19,0,8,1
1990/3/20,0,8,1
1990/3/21,0,8,1
1990/3/22,0,8,1
1990/3/23,0,8,1
1990/3/24,4,8,1
1990/3/25,0,8,1
1990/3/26,0,8,1
1990/3/27,0,8,1
1990/3/28,0,8,1
1990/3/29,1,8,1
1990/3/30,0,8,1
1990/3/31,11,8,1
1990/4/1,13,8,1
1990/4/2,0,8,1
1990/4/3,0,8,1
1990/4/4,0,8,1
1990/4/5,0,8,1
1990/4/6,7,8,1
1990/4/7,0,8,1
1990/4/8,3,8,1
1990/4/9,1,8,1
1990/4/10,0,8,1
1990/4/11,0,8,1
1990/4/12,0,8,1
1990/4/13,23,8,1
1990/4/14,7,8,1
1990/4/15,14,8,1
1990/4/16,9,8,1
1990/4/17,9,8,1
1990/4/18,5,8,1
1990/4/19,0,8,1
1990/4/20,0,8,1
1990/4/21,16,8,1
1990/4/22,28,8,1
1990/4/23,23,8,1
1990/4/24,0,8,1
1990/4/25,0,8,1
1990/4/26,0,8,1
1990/4/27,0,8,1
1990/4/28,0,8,1
1990/4/29,2,8,1
1990/4/30,0,8,1
1990/5/1,0,8,1
1990/5/2,0,8,1
1990/5/3,0,8,1
1990/5/4,3,8,1
1990/5/5,3,8,1
1990/5/6,0,8,1
1990/5/7,0,8,1
1990/5/8,20,8,1
1990/5/9,0,8,1
1990/5/10,0,8,1
