ダウンロードした時刻：2026/02/28 23:58:28

,白石,白石,白石,白石,白石,白石,白石,白石,白石
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
1990/1/1,-0.1,8,1,2.4,8,1,-2.8,8,1
1990/1/2,0.3,8,1,5.5,8,1,-4.7,8,1
1990/1/3,1.2,8,1,6.1,8,1,-2.0,8,1
1990/1/4,1.4,8,1,3.7,8,1,-1.6,8,1
1990/1/5,2.8,8,1,6.2,8,1,-1.3,8,1
1990/1/6,4.4,8,1,10.2,8,1,0.8,8,1
1990/1/7,0.6,8,1,2.8,8,1,-1.2,8,1
1990/1/8,1.4,8,1,6.5,8,1,-3.3,8,1
1990/1/9,1.7,8,1,10.3,8,1,-3.3,8,1
1990/1/10,3.8,8,1,11.5,8,1,0.3,8,1
1990/1/11,6.0,8,1,9.1,8,1,2.4,8,1
1990/1/12,3.0,8,1,8.5,8,1,-1.9,8,1
1990/1/13,2.3,8,1,6.6,8,1,-1.3,8,1
1990/1/14,-0.1,8,1,3.0,8,1,-3.3,8,1
1990/1/15,1.0,8,1,3.6,8,1,-1.1,8,1
1990/1/16,-2.1,8,1,-1.6,8,1,-4.3,8,1
1990/1/17,-2.0,8,1,2.7,8,1,-6.9,8,1
1990/1/18,2.2,8,1,8.7,8,1,-5.1,8,1
1990/1/19,3.6,8,1,8.2,8,1,0.1,8,1
1990/1/20,-1.6,8,1,1.0,8,1,-5.5,8,1
1990/1/21,-2.6,8,1,2.7,8,1,-7.2,8,1
1990/1/22,0.5,8,1,5.5,8,1,-4.3,8,1
1990/1/23,-2.4,8,1,0.2,8,1,-6.1,8,1
1990/1/24,-4.3,8,1,-2.0,8,1,-5.9,8,1
1990/1/25,-3.8,8,1,-1.3,8,1,-7.7,8,1
1990/1/26,-3.7,8,1,-1.5,8,1,-5.2,8,1
1990/1/27,-2.4,8,1,0.2,8,1,-4.6,8,1
1990/1/28,-0.8,8,1,1.9,8,1,-2.7,8,1
1990/1/29,-3.4,8,1,-1.7,8,1,-5.9,8,1
1990/1/30,-0.6,8,1,3.2,8,1,-3.7,8,1
1990/1/31,-2.3,8,1,-0.3,8,1,-4.7,8,1
1990/2/1,-3.1,8,1,-1.1,8,1,-6.3,8,1
1990/2/2,-4.7,8,1,2.5,8,1,-10.9,8,1
1990/2/3,0.7,8,1,6.9,8,1,-7.2,8,1
1990/2/4,1.6,8,1,4.0,8,1,-0.6,8,1
1990/2/5,0.2,8,1,1.4,8,1,-0.5,8,1
1990/2/6,0.8,8,1,3.5,8,1,-0.9,8,1
1990/2/7,2.6,8,1,9.1,8,1,-2.2,8,1
1990/2/8,1.9,8,1,6.1,8,1,-2.8,8,1
1990/2/9,-0.5,8,1,4.8,8,1,-5.1,8,1
1990/2/10,1.9,8,1,6.7,8,1,-4.7,8,1
1990/2/11,8.2,8,1,12.2,8,1,2.1,8,1
1990/2/12,5.2,8,1,8.3,8,1,1.6,8,1
1990/2/13,2.3,8,1,4.4,8,1,0.4,8,1
1990/2/14,1.9,8,1,6.3,8,1,-2.0,8,1
1990/2/15,1.4,8,1,2.6,8,1,-0.1,8,1
1990/2/16,3.6,8,1,4.7,8,1,2.5,8,1
1990/2/17,4.1,8,1,8.0,8,1,1.3,8,1
1990/2/18,4.9,8,1,7.9,8,1,1.5,8,1
1990/2/19,3.6,8,1,4.3,8,1,2.9,8,1
1990/2/20,7.1,8,1,10.3,8,1,4.0,8,1
1990/2/21,9.0,8,1,11.0,8,1,4.4,8,1
1990/2/22,7.0,8,1,15.4,8,1,1.1,8,1
1990/2/23,5.3,8,1,6.4,8,1,3.1,8,1
1990/2/24,7.5,8,1,11.5,8,1,5.3,8,1
1990/2/25,5.9,8,1,9.4,8,1,1.9,8,1
1990/2/26,6.2,8,1,8.7,8,1,3.4,8,1
1990/2/27,5.2,8,1,7.9,8,1,0.2,8,1
1990/2/28,1.9,8,1,8.3,8,1,-2.2,8,1
1990/3/1,5.0,8,1,11.0,8,1,-2.2,8,1
1990/3/2,3.4,8,1,6.5,8,1,2.4,8,1
1990/3/3,4.1,8,1,6.0,8,1,2.4,8,1
1990/3/4,6.4,5,1,9.9,4,1,3.5,4,1
1990/3/5,5.3,8,1,8.3,8,1,2.1,8,1
1990/3/6,4.9,8,1,8.5,8,1,1.6,8,1
1990/3/7,4.8,8,1,12.7,8,1,-1.2,8,1
1990/3/8,2.6,8,1,4.9,8,1,0.4,8,1
1990/3/9,6.2,8,1,9.6,8,1,1.8,8,1
1990/3/10,7.0,8,1,12.5,8,1,-1.4,8,1
1990/3/11,8.7,8,1,15.2,8,1,3.4,8,1
1990/3/12,7.1,8,1,12.3,8,1,1.7,8,1
1990/3/13,2.5,8,1,5.1,8,1,-0.2,8,1
1990/3/14,5.6,8,1,12.2,8,1,0.1,8,1
1990/3/15,6.2,8,1,12.6,8,1,3.1,8,1
1990/3/16,6.6,8,1,9.7,8,1,3.3,8,1
1990/3/17,5.7,8,1,10.5,8,1,-0.5,8,1
1990/3/18,4.2,8,1,9.5,8,1,-1.7,8,1
1990/3/19,6.6,8,1,10.9,8,1,1.9,8,1
1990/3/20,9.2,8,1,14.5,8,1,3.3,8,1
1990/3/21,5.8,8,1,8.2,8,1,1.3,8,1
1990/3/22,5.3,8,1,14.0,8,1,-2.2,8,1
1990/3/23,4.9,8,1,12.2,8,1,-2.9,8,1
1990/3/24,6.5,8,1,8.8,8,1,3.4,8,1
1990/3/25,3.8,8,1,6.4,8,1,1.2,8,1
1990/3/26,2.1,8,1,6.0,8,1,-0.1,8,1
