ダムコード,ダム名,管理者,都道府県,河川コード,水系名・河川名,形式,集水面積（km2）,間接流域（外数値）,堤高（m）,堤長（m）,面積,堤体積,堤体積(コンクリート)（千m3）,堤体積(ロック)（千m3）,堤体積(アース)（千m3）,総貯水容量（千m3）,有効貯水容量（千m3）,洪水調節容量(洪水期または設定なし),洪水調節容量(非洪水期),利水容量(洪水期または設定なし),利水容量(非洪水期),水位単位,サーチャージ水位,常時満水位,最低水位,予備放流水位(洪水期または設定なし),予備放流水位(非洪水期),１次制限水位,１次制限開始日,１次制限終了日,２次制限水位,２次制限開始日,２次制限終了日,３次制限水位,３次制限開始日,３次制限終了日,４次制限水位,４次制限開始日,４次制限終了日,５次制限水位,５次制限開始日,５次制限終了日,着工年度,完成年度,目的・洪水調節,目的・流水の正常な機能の維持,目的・特定灌漑,目的・水道用水,目的・工業用水,目的・発電,目的・消流雪用水,目的・レクリェーション,目的・その他,共同事業者名,北緯・度,北緯・分,北緯・秒,東経・度,東経・分,東経・秒,備考
−,今切川河口堰,水資源機構,徳島県,8808070112,吉野川・今切川,可動堰,179.1,,6,220.3,,,,,,9137,,,,,,(T.P. m),,,,,,,,,,,,,,,,,,,,,1971,1974,1,1,0,1,1,0,0,0,,,34,6,15,134,33,27,
−,安威川,都道府県・市町村,大阪府,8606040048,淀川・安威川,ロックフィル,52.2,,76.5,337.5,,,,2225000,,18000000,16400000,14000000,,2400000,,(EL. m),125,99.4,90.2,,,,,,,,,,,,,,,,,,2014,2022,1,1,1,0,0,0,0,0,,,34,52,16,135,33,37,
10100110610000,豊平峡,北海道開発局,北海道,8101030031,石狩川・豊平川,アーチ式コンクリートダム,134,25,102.5,305,,,285,,,47100,37100,20200,5700,16900,37100,(EL. m),474.88,474.88,437.68,458.78,470.88,458.78,2023-07-01,2023-09-30,469.08,2023-06-15,2023-06-30,469.08,2023-10-01,2023-10-31,,,,,,,,,1,0,0,1,0,1,0,0,,札幌市  北海道電力,42,54,42,141,9,27,"洪水調節容量は、第1期　20,200　第2期　 8,100となっている"
10100110620000,定山渓,北海道開発局,北海道,8101030073,石狩川・小樽内川,重力式コンクリート,104,,117.5,410,,,1185,,,82300,78600,19000,19000,59600,59600,(EL. m),390.4,381.5,325.3,,,,,,,,,,,,,,,,,,1974,1990,1,0,0,1,0,1,0,0,,札幌市    北海道電力株式会社,42,59,6,141,9,15,
10100121200000,留萌,北海道開発局,北海道,8101020009,留萌川・チバベリ川,中央コア型ロックフィルダム,42,,41.2,440,,,,1225,,23300,21800,11000,,10800,,(EL. m),46.75,40.85,30.05,,,,,,,,,,,,,,,,,,1989,2010,1,1,0,1,0,0,0,0,,,43,50,7,141,45,46,
10100121610000,芦別,北海道開発局,北海道,8101030261,石狩川・芦別川,重力式コンクリートダム,126,21.5,22.8,101,,,16,,,1599,206,,,206,206,(EL. m),,335,334,,,,,,,,,,,,,,,,,,1954,1956,0,0,0,0,0,1,0,0,,,43,17,4,142,7,58,
10100121620000,滝里,北海道開発局,北海道,8101030250,石狩川・空知川,重力式コンクリートダム,1662,,50,445,,,455,,,108000,85000,50000,50000,35000,35000,(EL. m),159.5,150.9,142.4,,,,,,,,,,,,,,,,,,1979,1999,1,1,1,1,0,1,0,0,,中空知広域水道企業団（滝川市、砂川市、歌志内市、奈井江町）、江別市、北海道電力（株）、北海道開発局,43,26,37,142,17,17,確保水位の基準日は６月１０日から８月３１日です。
10100122000000,岩尾内,北海道開発局,北海道,8101010001,天塩川・天塩川,重力式コンクリートダム,331.4,,58,448,,,394,,,107700,96300,48600,0,47700,96300,(EL. m),320.55,320.55,289.45,,,309.25,2023-07-01,2023-09-30,318.45,2023-06-15,2023-06-30,318.45,2023-10-01,2023-10-31,,,,,,,1965,1970,1,0,1,1,1,1,0,0,,北海道、士別市,44,6,53,142,42,26,
10100122200000,桂沢,北海道開発局,北海道,8101030182,石狩川・幾春別川,重力式コンクリートダム,151.2,147.5,63.6,334.25,,,350,,,92700,81800,10400,,71400,81800,(EL. m),187,187,158,,,184.75,2023-06-15,2023-10-31,,,,,,,,,,,,,1951,1957,1,0,1,1,0,1,0,0,,,43,14,23,142,0,9,
10100123100000,漁川,北海道開発局,北海道,8101030104,石狩川・漁川,中央心壁型ロックフィルダム,113,,45.5,270,,,,647,,15300,14100,11900,10300,2200,3800,(EL. m),176.5,164.3,154.6,,,161,2023-07-01,2023-09-30,,,,,,,,,,,,,1971,1980,1,1,0,1,0,0,0,0,,,42,50,40,141,26,54,
